name,age,occupation,address
Arnaldo,43,Pharmacist,Gubbio
Ignazio,63,Psychotherapist,Gubbio
Romina,21,Therapist sports,Feltre
Nadia,23,Television camera operator,Augusta
Jacopo,65,Data scientist,Tuscany
Nicoletta,57,Librarian,Bolzano
Melissa,34,Teacher secondary school,Alatri
Antonia,55,Furniture designer,Mestre
Marissa,56,Programmer multimedia,Cerignola
Enzo,49,Neurosurgeon,Portofino
Lamberto,37,Education officer,Pescia
Raimondo,33,Engineer technical sales,Bagheria
Leone,30,Trainer,Bergamo
Ugo,55,Environmental manager,Lazio
Giuseppina,22,Recycling officer,Alghero
Severino,51,Passenger transport manager,Rieti
Romolo,65,Fashion designer,Belgioioso
Greco,23,Surveyor insurance,Castellammare di Stabia
Valentina,24,Education officer,Verona
Baldassare,23,Psychologist clinical,Vibo Valentia
Ninetta,51,Microbiologist,Olbia
Fiamma,38,Dispensing optician,Caltanissetta
Serena,19,Furniture designer,Porto Torres
Graziano,20,Associate Professor,Salerno
Valerio,33,Technical sales engineer,Montagnana
Giacobbe,57,Programmer multimedia,Lanciano
Germana,56,Network engineer,Alessandria
Lando,36,Teacher,Andria
Arturo,25,Producer television/film/video,Rome
Girolamo,47,Education officer,Gubbio
Angelina,24,Politician's assistant,Chioggia
Sabatino,53,Warehouse manager,Casale Monferrato
Angelica,23,Equality and diversity officer,Nola
Rocco,21,Contractor,Trieste
Fiorenzo,49,Herbalist,Montagnana
Romeo,54,Automotive engineer,Mantua
Marcella,56,Television production assistant,Castelvetrano
Azeglio,32,Contractor,Trento
Fabio,48,Veterinary surgeon,Noto
Osvaldo,25,Technical sales engineer,Messina
Isabella,30,Doctor,Perugia
Gloria,56,Scientist,Tivoli
Melissa,20,Fashion designer,Ceglie Messapico
Fabrizia,57,Fashion designer,Brescia
Ida,48,Furniture designer,Pescara
Berenice,26,Doctor,Portogruaro
Marcantonio,46,Multimedia specialist,Torre del Greco
Beppe,30,Textile designer,Civitanova Marche
Rocco,37,CEO,Rapallo
Alina,38,Producer,Cassino
Giovanni,41,Exhibition designer,Cava de Tirreni
Rosalia,34,Psychologist clinical,Fidenza
Victoria,27,Company secretary,Ancona
Lidia,59,Industrial buyer,Sesto San Giovanni
Letizia,20,Barista,Potenza
Donna,33,Producer television/film/video,Anzio
Rembrandt,47,Programmer multimedia,Faenza
Arsenio,53,Scientist research,San Severo
Torquato,23,Theatre director,Cremona
Franco,39,Artist,Liguria
Durante,63,Designer,Prato
Piermaria,28,Company secretary,Nuoro
Nicola,64,Graphic designer,Sondrio
Roman,32,Psychotherapist,Campania
Antonia,29,Engineer aeronautical,Portogruaro
Melissa,39,Contractor,Bordighera
Isa,19,Art gallery manager,Siena
Geronimo,50,Warehouse manager,San Giovanni Rotondo
Baldassare,50,Pharmacist,Cagliari
Vittoria,64,Dispensing optician,Massa
Dino,44,Education officer,Cava de Tirreni
Marco,37,Science writer,Saluzzo
Germana,62,Chemist,Stresa
Gioele,61,Psychologist clinical,Rapallo
Alberto,48,Merchant navy officer,Rome
Antonella,45,Catering manager,Crema
Anita,35,Producer,Sardinia
Donatello,20,Data scientist,Cascina
Ermanno,43,Chemist,Fossano
Jolanda,27,Scientist marine,Pavia
Alberico,60,Psychologist clinical,Ortona
Lazzaro,58,Event organiser,Trani
Pierluigi,63,Musician,Sora
Berenice,52,Network engineer,Bagheria
Laureano,26,Counsellor,Bolzano
Lina,22,Event organiser,Crotone
Ermes,22,Engineer biomedical,Isernia
Ezio,40,Programmer multimedia,Merano
Tatiana,49,Graphic designer,Ortona
Pina,59,Haematologist,Orvieto
Gianpietro,61,Theatre director,Jesi
Milo,43,Recycling officer,Vittorio Veneto
Dina,49,Writer,Marsala
Pierluigi,34,Equality and diversity officer,Pomigliano dâ€™Arco
Maria,20,Food technologist,Vigevano
Ferdinando,33,Company secretary,Manduria
Melania,28,CEO,Pinerolo
Rosalia,27,Producer,Naples
Torquato,21,Chief of Staff,Tivoli
Elvira,60,Art gallery manager,Oristano
Matteo,23,Minerals surveyor,Catanzaro
Vincentio,25,Teacher secondary school,Bitonto
Griselda,56,Scientist research,Carloforte
Dante,53,Dentist,Senigallia
Monica,39,Metallurgist,PaternÃ²
Aria,30,Producer television/film/video,Trieste
Armando,65,Data scientist,Tuscania
Barbara,65,Art gallery manager,Pozzuoli
Arnaldo,58,Broadcast presenter,Monfalcone
Pina,65,Education officer,Civita Castellana
Franco,37,Contractor,San Severo
Martino,44,Engineer technical sales,Cascina
Eleanora,51,Barrister,Augusta
Lorenzo,40,Tour manager,Marino
Caterina,57,Designer graphic,Pescara
Melissa,43,Solicitor,Faenza
Livia,60,Multimedia specialist,Brescia
Vanessa,34,Television production assistant,Magenta
Piergiorgio,35,Engineer technical sales,Massa
Giada,19,Furniture designer,Piacenza
Stefano,31,Programmer multimedia,Aquila
Lucio,19,Engineer biomedical,Bobbio
Osvaldo,49,Physiological scientist,Sora
Antonina,22,Solicitor,Vittoria
Francesca,31,Medical sales representative,Este
Donna,32,Art gallery manager,Chioggia
Etta,41,Exhibition designer,Palazzolo Acreide
Marcella,22,Librarian,Vallombrosa
Rolando,47,Medical sales representative,Porto Torres
Filippo,28,Technical sales engineer,Pistoia
Annetta,22,Chemist,Ferrara
Ansaldo,48,Art therapist,Anzio
Pomponio,44,Multimedia specialist,Civitavecchia
Veronica,63,Banker,Bari
Ferdinando,30,Warehouse manager,Alessandria
Pomponio,44,Art gallery manager,Eboli
Isabella,19,Market researcher,Vittorio Veneto
Riccardo,37,Information officer,Taranto
Giuliana,51,Data scientist,Varese
Cirillo,61,Journalist magazine,Rimini
Elvira,35,Artist,Cerignola
Cipriano,25,Solicitor,Lecco
Marcantonio,43,Paediatric nurse,Sulmona
Beppe,62,Chief of Staff,Salerno
Martino,59,Multimedia specialist,Perugia
Livio,65,Textile designer,Portofino
Giada,36,Surveyor insurance,Carrara
Alessio,22,Designer graphic,Agrigento
Costantino,21,Multimedia specialist,Ruvo di Puglia
Annetta,37,Teacher,Novara
Arturo,32,Environmental manager,Pistoia
Ninetta,65,Food technologist,Aquila
Napoleone,21,Lecturer,Mirandola
Lamberto,42,Science writer,Canosa di Puglia
Annunziata,38,Psychotherapist,Tortona
Monica,40,Network engineer,Loreto
Ugo,19,Dentist,Alghero
Eleanora,32,Psychologist clinical,Arezzo
Martino,59,Education officer,Genoa
Napoleone,39,Environmental manager,Ercolano
Venancio,26,Technical sales engineer,Nocera Inferiore
Pierluigi,32,Teacher,Porto Torres
Erika,29,Technical sales engineer,Todi
Liliana,63,Scientist marine,Ferrara
Tiziana,38,Engineer biomedical,Terracina
Giacinto,64,Producer television/film/video,Portici
Armando,30,Art gallery manager,Gela
Olga,28,Art therapist,Portici
Atenulf,47,Market researcher,Sondrio
Donatella,41,Microbiologist,Civitanova Marche
Laura,45,Information officer,Monfalcone
Rosaria,62,Lecturer,Loreto
Gustavo,62,Merchant navy officer,Treviso
Angelo,46,Programmer multimedia,Assisi
Francesco,35,Data scientist,Aquino
Nadia,23,Management consultant,Portofino
Isabella,33,Science writer,Marino
Gianpietro,40,Psychotherapist,Capannori
Donatella,28,Engineer biomedical,Corleone
Federica,27,Public house manager,Castelfranco Veneto
Lisa,57,Scientist research,Montagnana
Roberta,19,Physiological scientist,Carrara
Giulio,47,Financial controller,Augusta
Damiano,27,Dentist,Sulmona
Martino,55,Artist,Prato
Antonina,51,Banker,Fidenza
Torquato,30,Politician's assistant,Syracuse
Matteo,25,Multimedia specialist,Liguria
Alessandro,51,Microbiologist,Empoli
Martino,43,Herbalist,Avellino
Dario,25,Public house manager,Montecatini Terme
Gaspare,31,Designer graphic,Montagnana
Annalisa,52,Banker,Torre Annunziata
Ricciotti,19,Data scientist,Arezzo
Marcella,56,Haematologist,Modica
Laura,40,Multimedia specialist,Novi Ligure
Ornella,31,Writer,Anzio
Melissa,29,Neurosurgeon,Piombino
Liana,30,Designer,Bobbio
Pierluigi,43,Data scientist,Padua
Nico,30,Producer television/film/video,Sardinia
Vittoria,49,Art therapist,Pesaro
Gastone,43,Event organiser,Livorno
Nicola,64,Doctor,Monte Santâ€™Angelo
Martino,62,Science writer,MondovÃ¬
Giustino,19,Neurosurgeon,Alatri
Rolando,39,Artist,Aosta
Sonia,20,Dentist,Enna
Costanzo,39,Surveyor insurance,Vibo Valentia
Piero,61,Psychotherapist,Desio
Domenico,59,Science writer,Capua
Micheletto,48,Counsellor,San Giovanni Rotondo
Barbara,55,Psychologist,Sorrento
Pina,61,Science writer,Vibo Valentia
Silvestro,46,Ergonomist,Fano
Simonetta,33,Restaurant manager,Sciacca
Cecilia,54,CEO,Veneto
Gianluigi,41,Barista,Subiaco
Panfilo,45,Warehouse manager,Turin
Pietro,35,Politician's assistant,Emilia-Romagna
Emilio,65,Exhibition designer,Montagnana
Severino,49,Psychotherapist,Sulmona
Ermenegildo,28,Haematologist,Altamura
Aria,48,Associate Professor,Sicily
Renzo,35,Teacher,Adrano
Salvatore,54,Management consultant,Ascoli Piceno
Fiorino,45,Barrister,Taranto
Evangelista,32,Herbalist,Teramo
Vittorio,42,Production assistant radio,Udine
Flavio,53,Records manager,PaternÃ²
Baccio,29,Teacher,Massa
Torquato,58,Veterinary surgeon,Umbria
Elvira,47,Chiropodist,Venosa
Cecilia,61,Exhibition designer,Isernia
Mercedes,41,Education officer,Forio
Nanni,24,Designer graphic,Moncalieri
Orazio,34,Exhibition designer,Senigallia
Marcantonio,56,Minerals surveyor,Siena
Milena,21,Counsellor,Cori
Jacopo,27,Journalist magazine,Montecatini Terme
Angelo,36,Lecturer,Biella
Nico,63,Television camera operator,Friuliâ€“Venezia Giulia
Martina,54,Environmental manager,Avezzano
Jacopo,59,Surveyor insurance,Noto
Marissa,54,Ergonomist,Friuliâ€“Venezia Giulia
Fausto,53,Psychotherapist,Puglia
Adele,45,Dentist,Como
Gianluigi,57,Food technologist,Tivoli
Martino,41,Science writer,Voghera
Raffaele,37,Exhibition designer,Viareggio
Marissa,29,Warden,Torre Annunziata
Sergius,43,Therapist sports,Sarzana
Germana,42,Psychotherapist,Pietrasanta
Dario,59,Microbiologist,Ercolano
Ornella,50,Designer graphic,Guastalla
Melissa,38,Scientist,Ortona
Amalia,62,Art gallery manager,Chioggia
Simone,38,Records manager,Gela
Ennio,55,Passenger transport manager,Todi
Eleanora,33,Dentist,Tivoli
Calcedonio,65,Trainer,Carloforte
Manuel,22,Medical sales representative,Alghero
Leonardo,30,Art gallery manager,Civitanova Marche
Giancarlo,65,Restaurant manager,Urbino
Piero,21,Company secretary,Bolzano
Giuseppe,56,Lecturer,Olbia
Calcedonio,40,Theatre director,Sessa Aurunca
Stefano,53,Environmental manager,Legnano
Silvestro,34,Dispensing optician,Castel Gandolfo
Aldo,42,Barrister,Calabria
Lilla,47,Market researcher,Merano
Graziella,33,Solicitor,Biella
Franco,42,Producer,Varallo
Giustino,52,Physiological scientist,Ferentino
Piergiuseppe,57,Warden,Sardinia
Milena,57,Designer graphic,Pomigliano dâ€™Arco
Giulio,37,Financial controller,Teramo
Vanessa,34,Microbiologist,Puglia
Romeo,40,Herbalist,Augusta
Luigina,57,Chiropodist,Gravina in Puglia
Martino,26,Artist,Tivoli
Raffaele,52,Doctor,Varallo
Geronimo,24,Theatre director,Siena
Germana,29,Doctor,Calabria
Telemaco,44,Trainer,Avezzano
Piergiuseppe,39,Veterinary surgeon,Saluzzo
Arnulfo,60,Television production assistant,Piazza Armerina
Anita,63,Engineer biomedical,Licata
Baldassare,50,Contractor,Modica
Laureano,38,Science writer,Torre del Greco
Costanzo,38,Records manager,Este
Milo,23,Network engineer,Asti
Marcella,25,Chiropodist,Este
Fabio,24,Food technologist,Sessa Aurunca
Napoleone,63,Barista,Subiaco
Sante,58,Graphic designer,Rovigo
Rosario,59,Neurosurgeon,Saluzzo
Annetta,36,Psychotherapist,Olbia
Luchino,52,Musician,CefalÃ¹
Marco,33,Industrial buyer,Belluno
Martina,23,Minerals surveyor,Pistoia
Matteo,31,Solicitor,Sondrio
Uberto,27,Herbalist,Prato
Priscilla,59,Therapist sports,Chianciano Terme
Veronica,62,Engineer biomedical,Chianciano Terme
Armando,34,Information officer,Fano
Goffredo,25,Information officer,Pistoia
Annetta,24,Neurosurgeon,Syracuse
Luciano,58,Chief of Staff,Vasto
Mauro,23,Veterinary surgeon,Capannori
Danilo,51,Art gallery manager,Rieti
Renzo,34,Pharmacist,Campania
Jacopo,29,Company secretary,Campobasso
Giosu,38,Restaurant manager,Guastalla
Daria,50,Barista,Aversa
Annetta,48,Production assistant radio,La Spezia
Tina,62,Dispensing optician,Aosta
Adriana,33,Broadcast presenter,Fabriano
Sandro,26,Television production assistant,Sora
Pasqual,44,Art gallery manager,Lazio
Pietro,42,Psychotherapist,Corleone
Gino,36,Art gallery manager,Bolzano
